,Name,Price,Rating,Image
229,ASUS Vivobook Go 14 (2023) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1404FA-NK3...,"₹35,091",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/9/6/-original-imagpxgq3wcnwpwv.jpeg?q=70
230,HP Pavilion Aero (2023) AMD Ryzen 5 Hexa Core 7535U - (16 GB/512 GB SSD/Windows 11 Home) 13-BE2056AU T...,"₹68,918",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/d/q/e/-original-imagwzwcrmyhnhmg.jpeg?q=70
231,HP Pavilion AMD Ryzen 5 Hexa Core 5625U - (8 GB/512 GB SSD/Windows 11 Home) 14-EC1003AU Thin and Light...,"₹50,990",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/c/w/-original-imagwzwb9vmkjhmg.jpeg?q=70
232,DELL Inspiron Intel Core i5 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10/2 GB Graphics) Inspiron 35...,"₹58,399",3.8,https://rukminim2.flixcart.com/image/312/312/ku5ufm80/computer/s/j/p/inspiron-3511-thin-and-light-laptop-dell-original-imag7csraspfw7zj.jpeg?q=70
233,HP Pavilion Intel Core i5 13th Gen 1335U - (16 GB/1 TB SSD/Windows 11 Home) 15-eg3018TU Thin and Light...,"₹73,828",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/7/m/-original-imagwy8djqdwrwjf.jpeg?q=70
234,Lenovo Ideapad Intel Celeron Dual Core N4020 - (4 GB/64 GB EMMC Storage/Chrome OS) 11IGL05 Chromebook,"₹13,990",3,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/9/j/w/11igl05-chromebook-lenovo-original-imaguz2zmhgpszgt.jpeg?q=70
235,HP Pavilion x360 Intel Core i5 13th Gen 1335U - (16 GB/1 TB SSD/Windows 11 Home) 14-ek1010TU 2 in 1 La...,"₹79,488",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/s/k/-original-imagwy8ducgpdz2x.jpeg?q=70
236,HP Pavilion (2023) Intel Core i5 13th Gen 1340P - (16 GB/512 GB SSD/Windows 11 Home) 15-eg3079TU Thin ...,"₹69,990",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/p/e/e/-original-imagrgm4ksqy2cg7.jpeg?q=70
237,DELL Latitude Intel Core i3 11th Gen Core i3-1115G4 - (8 GB/256 GB SSD/Ubuntu) 3420 Business Laptop,"₹30,990",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/y/r/latitude-3420-business-laptop-dell-original-imagnzaqfkcyn2vp.jpeg?q=70
238,Lenovo IdeaPad Slim 5 WUXGA-OLED Intel Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Ho...,"₹79,990",4.1,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/a/a/h/-original-imagufyhjfmz34jy.jpeg?q=70
239,Lenovo IdeaPad Slim 5 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) 14ABR8 Thin and...,"₹59,190",4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/1/5/r/-original-imagufyh3gzrw68x.jpeg?q=70
240,CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Pro Laptop,"₹17,990",3.6,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/m/q/-original-imagrfsbcwgjjegf.jpeg?q=70
241,CHUWI Intel Core i3 10th Gen 1005G1 - (8 GB/512 GB SSD/Windows 11 Home) CoreBook X Grey Laptop,"₹24,990",4.1,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/b/l/corebook-x-laptop-chuwi-original-imagwkfspzdtns4j.jpeg?q=70
242,ASUS Vivobook Go 15 OLED (2023) AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) E1504...,"₹55,290",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/w/d/-original-imagpxgqz93j3fgy.jpeg?q=70
243,HP Chromebook (2023) MediaTek MediaTek Kompanio 1200 - (8 GB/256 GB SSD/Chrome OS) 13b-ca0006MU Chrome...,"₹32,990",4,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/p/p/13b-ca0006mu-thin-and-light-laptop-hp-original-imagzyavzxwvddgw.jpeg?q=70
244,Acer Swift Go 14 AI Powered EVO Intel Core Ultra 5 125H - (16 GB/512 GB SSD/Windows 11 Home) SFG14-72T...,"₹84,990",,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/o/x/7/-original-imagxhuxsfczqrzn.jpeg?q=70
245,HP Pavilion (2023) Eyesafe AMD Ryzen 5 Hexa Core 5625U - (16 GB/512 GB SSD/Windows 11 Home) 14-EC1019A...,"₹54,990",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/h/u/c/-original-imagxfs93hqxbehu.jpeg?q=70
246,Acer Predator (2023) Intel Core i9 13th Gen 13900HX - (32 GB/1 TB SSD/Windows 11 Home/12 GB Graphics/N...,"₹2,49,990",4.7,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/o/g/r/-original-imagp7w4rtcsyjzj.jpeg?q=70
247,HP 15s (2023) AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) 15-fc0031AU Thin and Li...,"₹50,090",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/s/a/q/-original-imagwzwcqg5h4rz6.jpeg?q=70
248,DELL Inspiron AMD Ryzen 5 Quad Core 5500u - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3525 Thin and L...,"₹39,490",3.8,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/v/v/na-thin-and-light-laptop-dell-original-imagqfb6ec7gzdq3.jpeg?q=70
249,ASUS AMD Ryzen 9 Octa Core 10th Gen - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce R...,"₹89,990",4.4,https://rukminim2.flixcart.com/image/312/312/l2p23rk0/computer/t/i/t/tuf-gaming-a15-gaming-laptop-asus-original-imagdzby2dzuqucp.jpeg?q=70
250,HP Pavilion Aero (2023) AMD Ryzen 5 Hexa Core 7535U - (16 GB/512 GB SSD/Windows 11 Home) 13-BE2056AU T...,"₹68,918",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/d/q/e/-original-imagwzwcrmyhnhmg.jpeg?q=70
251,HP Pavilion AMD Ryzen 5 Hexa Core 5625U - (8 GB/512 GB SSD/Windows 11 Home) 14-EC1003AU Thin and Light...,"₹50,990",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/c/w/-original-imagwzwb9vmkjhmg.jpeg?q=70
