,Name,Price,Badge,Image
33, Pentel Black Ink Gel Pen,₹9.99,4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/5482356/3d/e9/k.jpg.572e953de9.999x150x150.jpg
34, Flair Blue Ink Gel Pen,₹9.99,4.0 - 4.49,https://assets-mkpbg.gem.gov.in/img/othe/5482356/04/cc/4564.jpeg.201fe804cc.999x150x150.jpg
35, HAUSER Blue Ink Gel Pen,₹12.00,4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/5122273/55/77/whatsappimage20230515at4.14.28pm2.jpeg.7c35875577.999x150x150.jpg
36, Natraj Blue Ink Gel Pen,₹5.00,4.0 - 4.49,https://assets-mkpbg.gem.gov.in/img/othe/2707604/4c/a0/1.jpg.c944244ca0.999x150x150.jpg
37, Flair Red Ink Gel Pen,₹5.00,4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/6474808/1c/1c/whatsappimage20230505at11.41.52am.jpeg.e601441c1c.999x150x150.jpg
38, Pentel Red Ink Gel Pen,₹5.00,4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/5482356/3d/e9/e.jpg.572e953de9.999x150x150.jpg
39, Flair Blue Ink Gel Pen,₹5.00,4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/5805548/15/1a/whatsappimage20220916at9.44.39am.jpeg.436d7c151a.999x150x150.jpg
40, Classmate Black Ink Gel Pen,₹6.98,4.0 - 4.49,https://assets-mkpbg.gem.gov.in/img/othe/3518218/cf/47/img20230721112621.jpg.7f2ce2cf47.999x150x150.jpg
41, Pentel Blue Ink Gel Pen,₹7.00,4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/1256562/78/e4/3.jpg.19d7a178e4.999x150x150.jpg
42, Pentel Blue Ink Gel Pen,₹9.00,4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/1256562/78/e4/2.jpg.19d7a178e4.999x150x150.jpg
43, Pentel Blue Ink Gel Pen,₹9.91,,https://assets-mkpbg.gem.gov.in/img/othe/6420236/cb/8a/tgfg.jpg.5dee40cb8a.999x150x150.jpg
44, LINC Blue Ink Gel Pen,₹9.99,4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/7628203/e0/a1/2.jpeg.c68685e0a1.999x150x150.jpg
45, Reynolds Blue Ink Gel Pen,₹10.00,4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/7356272/10/9c/1.jpg.32c7f1109c.999x150x150.jpg
46, Reynolds Blue Ink Gel Pen,₹10.00,4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/3346784/73/b8/penr1.jpeg.13b7bb73b8.999x150x150.jpg
47, DAYAL Blue Ink Gel Pen,₹10.00,4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/3582401/f0/8c/whatsappimage20230620at19.39.091.jpeg.5d767af08c.999x150x150.jpg
48, rorito Blue Ink Gel Pen,₹5.00,4.0 - 4.49,https://assets-mkpbg.gem.gov.in/img/othe/0832635/08/6b/15487.jpeg.f5a2b9086b.999x150x150.jpg
49, Pentel Blue Ink Gel Pen,₹5.00,4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/1256562/3d/e9/pentelenergel07mmgelrollerpenblue.jpg.ea71d843cd.999x420x420.jpg.572e953de9.999x150x150.jpg
50, HAUSER Green Ink Gel Pen,₹5.00,4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/0012667/a4/94/12.jpg.dab5f9a494.999x150x150.jpg
51, Flair Blue Ink Gel Pen,₹5.50,4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/5482356/04/cc/4564.jpeg.201fe804cc.999x150x150.jpg
52, Natraj Blue Ink Gel Pen,₹5.50,4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/1600334/2d/85/gelpen11.jpeg.0ae0272d85.999x150x150.jpg
53, Reynolds Red Ink Gel Pen,₹6.50,4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/6250457/06/8b/racerred1.jpg.da7204068b.999x150x150.jpg
54, HAUSER Blue Ink Gel Pen,₹7.00,4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/0012667/63/bd/3.jpg.db6b5b63bd.999x150x150.jpg
